#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	S    	P    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
87        	4         	ok              	9.0780000000e-06	8.7970000000e+02	1.3738801982e+14	7.4743230273e+13	2.3680750932e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88        	4         	ok              	7.3370000000e-06	8.7460000000e+02	1.1168692242e+14	6.0761057386e+13	2.3680750945e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89        	4         	ok              	5.9310000000e-06	8.7020000000e+02	9.0740699552e+13	4.9365679810e+13	2.3680750952e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90        	4         	ok              	4.7940000000e-06	8.6680000000e+02	7.3632984727e+13	4.0058566503e+13	2.3680750952e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
91        	4         	ok              	3.8750000000e-06	8.6420000000e+02	5.9696754777e+13	3.2476836716e+13	2.3680750945e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
92        	4         	ok              	3.1320000000e-06	8.6230000000e+02	4.8356698803e+13	2.6307503947e+13	2.3680750934e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
93        	4         	ok              	2.5310000000e-06	8.6110000000e+02	3.9131980934e+13	2.1288978966e+13	2.3680750915e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
94        	4         	ok              	2.0460000000e-06	8.6050000000e+02	3.1655416466e+13	1.7221502207e+13	2.3680750890e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
95        	4         	ok              	1.6540000000e-06	8.6060000000e+02	2.5587475492e+13	1.3920359151e+13	2.3680750856e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96        	4         	ok              	1.3370000000e-06	8.6140000000e+02	2.0664257985e+13	1.1241980219e+13	2.3680750808e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
97        	4         	ok              	1.0800000000e-06	8.6270000000e+02	1.6666992181e+13	9.0673469634e+12	2.3680750746e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98        	4         	ok              	8.7330000000e-07	8.6460000000e+02	1.3447498412e+13	7.3158451743e+12	2.3680750664e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
99        	4         	ok              	7.0590000000e-07	8.6730000000e+02	1.0835952837e+13	5.8950855561e+12	2.3680750549e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
100       	4         	ok              	5.7060000000e-07	8.7040000000e+02	8.7278274739e+12	4.7482017299e+12	2.3680750398e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
101       	4         	ok              	4.6120000000e-07	8.7420000000e+02	7.0237939150e+12	3.8211560452e+12	2.3680750188e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
102       	4         	ok              	3.7280000000e-07	8.7990000000e+02	5.6407369017e+12	3.0687312994e+12	2.3680749841e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
